hour_ts,cmc_fg,cmc_fg_class,cmc_btc_dom,cmc_eth_dom,cmc_mcap_t
1783058400,23.0,Fear,57.88,9.69,2.136
1783069200,23.0,Fear,57.85,9.75,2.138
1783090800,24.0,Fear,57.9,9.74,2.151
1783098000,23.0,Fear,57.89,9.73,2.149
1783134000,25.0,Fear,57.9,9.75,2.168
1783137600,25.0,Fear,57.9,9.76,2.169
1783152000,25.0,Fear,57.85,9.79,2.167
1783170000,25.0,Fear,57.85,9.8,2.168
1783173600,26.0,Fear,57.77,9.83,2.174
1783177200,26.0,Fear,57.72,9.91,2.182
1783216800,26.0,Fear,57.94,9.8,2.166
1783242000,27.0,Fear,57.97,9.8,2.17
1783252800,26.0,Fear,57.87,9.81,2.173
1783263600,27.0,Fear,57.87,9.84,2.177
1783303200,28.0,Fear,58.05,9.82,2.196
