create_time,symbol,sum_open_interest,sum_open_interest_value,count_toptrader_long_short_ratio,sum_toptrader_long_short_ratio,count_long_short_ratio,sum_taker_long_short_vol_ratio
2026-05-25 00:05:00,BTCUSDT,99096.1430000000000000,7641383672.6078360000000000,1.20144193,1.13808000,1.17209143,1.16311000
2026-05-25 00:10:00,BTCUSDT,99065.4870000000000000,7642198957.0923000000000000,1.20162026,1.13814200,1.17228854,1.14114500
2026-05-25 00:15:00,BTCUSDT,99064.8300000000000000,7643114297.7185080000000000,1.19783932,1.13796900,1.16701158,0.92050100
2026-05-25 00:20:00,BTCUSDT,99057.8790000000000000,7640808675.1297360000000000,1.19795513,1.13776900,1.16729943,0.63739800
2026-05-25 00:25:00,BTCUSDT,99004.3260000000000000,7643430980.1780000000000000,1.19670124,1.13833600,1.16613862,1.91218400
2026-05-25 00:30:00,BTCUSDT,99016.0600000000000000,7642059510.8000000000000000,1.19953971,1.13727300,1.17153261,0.45693500
2026-05-25 00:35:00,BTCUSDT,99014.3330000000000000,7637153730.0894000000000000,1.19917998,1.13691700,1.17109878,0.85398200
2026-05-25 00:40:00,BTCUSDT,99014.4890000000000000,7640278025.5306730000000000,1.19831677,1.13679100,1.17006785,0.70901800
2026-05-25 00:45:00,BTCUSDT,99033.9150000000000000,7633978626.6695240000000000,1.19690376,1.13630000,1.16800470,0.61558900
2026-05-25 00:50:00,BTCUSDT,98997.2540000000000000,7642705886.5519000000000000,1.19431858,1.13623700,1.16448174,1.11162600
2026-05-25 00:55:00,BTCUSDT,98992.6300000000000000,7637222008.9220000000000000,1.19292088,1.13677400,1.16257888,0.78454000
2026-05-25 01:00:00,BTCUSDT,99002.5650000000000000,7635077812.8000000000000000,1.19188601,1.13631500,1.16182378,0.59596800
2026-05-25 01:05:00,BTCUSDT,99236.7340000000000000,7646259959.9208000000000000,1.19323386,1.12847200,1.16217270,0.85207300
2026-05-25 01:10:00,BTCUSDT,99362.0930000000000000,7655481625.9059000000000000,1.19145012,1.12572000,1.16067302,1.76808900
2026-05-25 01:15:00,BTCUSDT,99342.1130000000000000,7663975794.2449000000000000,1.18936993,1.12510000,1.15814924,1.82847900
