hour_ts,opt_spot,opt_gex_total,opt_gex_flip,opt_pin,opt_call_wall,opt_put_wall,opt_max_pain,opt_pcr_oi,opt_iv_atm,opt_oi_total
1783000800,61498.7,53.97,65772.0,63000.0,63000.0,60000.0,61000.0,0.56,38.4,363587.7
1783040400,61558.7,59.52,65066.0,63000.0,63000.0,60000.0,61000.0,0.57,28.5,368114.4
1783051200,61445.3,57.32,65205.0,63000.0,63000.0,60000.0,61000.0,0.566,29.1,368628.6
1783054800,61640.7,67.43,64189.0,62000.0,62000.0,60000.0,61000.0,0.567,25.2,368713.1
1783058400,61668.6,67.35,64275.0,62000.0,62000.0,60000.0,61000.0,0.567,28.4,369091.2
1783069200,61663.3,50.14,66030.0,63000.0,63000.0,60000.0,60000.0,0.556,25.5,340566.1
1783090800,62165.4,59.43,66869.0,63000.0,63000.0,60000.0,60500.0,0.562,27.6,354649.6
1783098000,62076.3,55.61,67354.0,63000.0,63000.0,60000.0,61000.0,0.566,25.8,356465.7
1783134000,62569.4,84.69,64973.0,63000.0,63000.0,60000.0,61000.0,0.57,21.9,359950.3
1783137600,62642.1,90.37,64799.0,63000.0,63000.0,60000.0,61000.0,0.57,22.4,359971.4
1783152000,62498.4,67.34,66407.0,63000.0,63000.0,60000.0,62000.0,0.564,19.3,355879.6
1783170000,62598.7,75.1,65675.0,63000.0,63000.0,60000.0,62000.0,0.565,20.4,356526.7
1783173600,62625.2,77.39,65524.0,63000.0,63000.0,60000.0,62000.0,0.565,20.5,357269.4
1783177200,62846.3,90.64,64914.0,63000.0,63000.0,60000.0,62000.0,0.565,23.1,357878.8
1783216800,62585.2,76.38,65888.0,63000.0,63000.0,60000.0,62000.0,0.566,19.4,359702.8
1783242000,62706.1,68.71,66890.0,64000.0,64000.0,60000.0,61500.0,0.556,32.6,355512.0
